Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
2256609161,"Jan 17, 2019, 6:11:12 AM",Morning Run,Run,"",3394,11.46,176,false,"",activities/2402650360.gpx.gz,80.0,,3394.0,3319.0,11468.400390625,8.399999618530273,,97.05476379394531,,27.399999618530273,58.29999923706055,16.200000762939453,-0.0026158837135881186,,,,,191.0,172.42453002929688,,,0.0,,,176.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2256609172,"Jan 18, 2019, 6:18:03 AM",Morning Run,Run,"",3956,11.05,52,false,"",activities/2402650366.gpx.gz,80.0,,3956.0,3868.0,11051.400390625,5.599999904632568,,106.97618865966797,,27.399999618530273,58.79999923706055,17.600000381469727,-0.016287529841065407,,,,,166.0,142.55276489257812,,,0.0,,,52.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2256710122,"Jan 19, 2019, 12:26:01 PM",Afternoon Run,Run,"",3167,10.80,118,false,"",activities/2402755315.gpx.gz,80.0,,3167.0,3079.0,10804.2998046875,8.600000381469727,,107.47095489501953,,46.20000076293945,58.5,10.600000381469727,0.0,,,,,183.0,159.5232391357422,,,0.0,,,118.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2256710144,"Feb 15, 2019, 6:30:58 AM",Morning Run,Run,"",3578,11.39,168,false,"",activities/2402755319.gpx.gz,80.0,,3578.0,3468.0,11394.099609375,8.5,,76.92619323730469,,27.399999618530273,58.29999923706055,11.800000190734863,-0.014920002780854702,,,,,186.0,169.6640625,,,0.0,,,168.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2256710157,"Mar 8, 2019, 11:23:47 AM",Lunch Run,Run,"",4338,13.37,156,false,"",activities/2402755327.gpx.gz,80.0,,4338.0,4323.0,13378.599609375,6.0,,112.05904388427734,,43.20000076293945,65.0999984741211,7.599999904632568,0.001494924770668149,,,,,184.0,162.15682983398438,,,0.0,,,156.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2259523589,"Apr 2, 2019, 10:41:45 AM",Lunch Run,Run,,2579,9.06,127,false,"",activities/2259523589.gpx,80.0,,2579.0,2561.0,9067.029296875,7.5,,91.32440185546875,,43.20000076293945,57.20000076293945,9.600000381469727,-0.004411602392792702,,,,,185.0,170.70948791503906,,,0.0,,,127.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2266028554,"Apr 5, 2019, 5:06:16 AM",Morning Run,Run,,2213,7.43,84,false,"",activities/2266028554.gpx,80.0,,2213.0,2213.0,7433.4287109375,6.0,,62.4571418762207,,43.29999923706055,57.20000076293945,8.100000381469727,0.0026923336554318666,,,,,177.0,162.8766326904297,,,0.0,,,84.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2271272457,"Apr 7, 2019, 8:12:26 AM",Berlin Half Marathon 2019,Run,"",6227,21.29,393,false,"",activities/2271272457.gpx,80.0,,6227.0,6227.0,21295.30078125,6.400000095367432,,143.525390625,,28.100000381469727,56.599998474121094,17.799999237060547,-0.010800505056977272,,,,,195.0,179.28665161132812,,,0.0,,,393.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2276227212,"Apr 9, 2019, 5:30:56 AM",Morning Run,Run,,3334,8.27,95,false,"",activities/2276227212.gpx,80.0,,3334.0,2604.0,8278.5810546875,4.800000190734863,,73.0841293334961,,43.20000076293945,57.20000076293945,8.899999618530273,-0.018151016905903816,,,,,172.0,162.59292602539062,,,0.0,,,95.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2278946114,"Apr 10, 2019, 5:35:58 AM",Morning Run,Run,,4302,7.32,48,false,"",activities/2278946114.gpx,80.0,,4302.0,2515.0,7321.99755859375,7.400000095367432,,62.121925354003906,,43.400001525878906,58.400001525878906,11.5,0.0,,,,,170.0,146.4608154296875,,,0.0,,,48.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
